product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct,uk_price_variant,uk_price_variant_label
hydrogen,cbam_default,medium,2029,10,10,0.08,hold_final,-384.7,ningbo_felixstowe,ningbo_felixstowe,False,8403.49,6481.68,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2030,10,10,0.08,hold_final,-246.06,ningbo_felixstowe,ningbo_felixstowe,False,8632.49,6849.32,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2026,10,5,0.08,truncate,-39.46,ningbo_felixstowe,halifax_hamburg,True,320.16,332.57,12.41,3.88,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2027,10,4,0.08,truncate,4.33,halifax_hamburg,halifax_hamburg,False,303.09,359.11,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2028,10,3,0.08,truncate,11.47,halifax_hamburg,halifax_hamburg,False,274.57,330.39,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2029,10,2,0.08,truncate,18.36,halifax_hamburg,halifax_hamburg,False,228.63,276.54,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2030,10,1,0.08,truncate,31.91,halifax_hamburg,halifax_hamburg,False,148.48,180.39,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2026,10,5,0.08,truncate,-527.43,ningbo_felixstowe,ningbo_felixstowe,False,3912.37,2033.49,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2027,10,4,0.08,truncate,-388.19,ningbo_felixstowe,ningbo_felixstowe,False,3655.08,2195.51,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2028,10,3,0.08,truncate,-485.66,ningbo_felixstowe,ningbo_felixstowe,False,3176.95,2019.86,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2029,10,2,0.08,truncate,-451.73,ningbo_felixstowe,ningbo_felixstowe,False,2415.67,1690.52,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2030,10,1,0.08,truncate,-295.29,ningbo_felixstowe,ningbo_felixstowe,False,1397.95,1102.66,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2026,10,10,0.08,hold_final,-39.46,ningbo_felixstowe,halifax_hamburg,True,755.91,861.97,106.06,14.03,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2027,10,10,0.08,hold_final,4.33,halifax_hamburg,halifax_hamburg,False,847.98,1021.1,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
