corridor,product,pathway,year,price_scenario,route_scenario,speed_scenario,vessel_set,vessel_class,uk_ets_variant,uk_price_variant,bunker_fuel,currency,cargo_tonnes,embedded_emissions_tco2e_per_tonne,cbam_cost_per_tonne,eu_ets_cost_per_tonne,fueleu_cost_per_tonne,uk_ets_cost_per_tonne,maritime_cost_per_tonne,total_compliance_cost_per_tonne
halifax_hamburg,hydrogen,green_electrolysis,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,11.85844200411805,7.943896304941359,0.0,19.802338309059408,19.802338309059408
halifax_hamburg,hydrogen,grey_smr,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,404.11720125,11.85844200411805,7.943896304941359,0.0,19.802338309059408,423.9195395590594
halifax_hamburg,hydrogen,blue_smr_ccs,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,11.85844200411805,7.943896304941359,0.0,19.802338309059408,19.802338309059408
halifax_hamburg,hydrogen,cbam_default,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,620.90020125,11.85844200411805,7.943896304941359,0.0,19.802338309059408,640.7025395590595
halifax_hamburg,ammonia,grey_smr,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,75.74222250000001,1.231003526771401,0.8246415814398889,0.0,2.05564510821129,77.7978676082113
halifax_hamburg,ammonia,green_electrolysis,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.231003526771401,0.8246415814398889,0.0,2.05564510821129,2.05564510821129
halifax_hamburg,ammonia,cbam_default,2030,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,65.9663725,1.231003526771401,0.8246415814398889,0.0,2.05564510821129,68.0220176082113
halifax_hamburg,hydrogen,green_electrolysis,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,13.834849004804392,7.943896304941359,0.0,21.77874530974575,21.77874530974575
halifax_hamburg,hydrogen,grey_smr,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,560.54966625,13.834849004804392,7.943896304941359,0.0,21.77874530974575,582.3284115597457
halifax_hamburg,hydrogen,blue_smr_ccs,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,13.834849004804392,7.943896304941359,0.0,21.77874530974575,21.77874530974575
