corridor,vessel_set,vessel_class,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,uk_price_variant,bunker_fuel,voyage_co2_t,currency,cost_in_own_currency,effective_cost_per_tonne_co2,effective_cost_per_tonne_co2_gbp
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2029,medium,proposed_expansion,frozen,n/a,4333.6,GBP,111665.1177,25.767287636145465,25.767287636145465
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2029,high,current_scope,frozen,n/a,4333.6,GBP,3565.2000000000003,0.8226878345947941,0.8226878345947941
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2029,high,proposed_expansion,frozen,n/a,4333.6,GBP,135598.2,31.289966771275616,31.289966771275616
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2030,low,current_scope,frozen,n/a,4333.6,GBP,2376.8,0.5484585563965294,0.5484585563965294
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2030,low,proposed_expansion,frozen,n/a,4333.6,GBP,90398.80000000002,20.85997784751708,20.85997784751708
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2030,medium,current_scope,frozen,n/a,4333.6,GBP,2935.9422,0.677483431788813,0.677483431788813
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2030,medium,proposed_expansion,frozen,n/a,4333.6,GBP,111665.1177,25.767287636145465,25.767287636145465
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2030,high,current_scope,frozen,n/a,4333.6,GBP,3565.2000000000003,0.8226878345947941,0.8226878345947941
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2030,high,proposed_expansion,frozen,n/a,4333.6,GBP,135598.2,31.289966771275616,31.289966771275616
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2026,low,current_scope,frozen,n/a,6181.3,GBP,2376.8,0.3845145843107437,0.3845145843107437
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2026,medium,current_scope,frozen,n/a,6181.3,GBP,2935.9422,0.4749716402698461,0.4749716402698461
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2026,high,current_scope,frozen,n/a,6181.3,GBP,3565.2000000000003,0.5767718764661156,0.5767718764661156
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2027,low,current_scope,frozen,n/a,6181.3,GBP,2376.8,0.3845145843107437,0.3845145843107437
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2027,medium,current_scope,frozen,n/a,6181.3,GBP,2935.9422,0.4749716402698461,0.4749716402698461
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2027,high,current_scope,frozen,n/a,6181.3,GBP,3565.2000000000003,0.5767718764661156,0.5767718764661156
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2028,low,current_scope,frozen,n/a,6181.3,GBP,2376.8,0.3845145843107437,0.3845145843107437
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2028,low,proposed_expansion,frozen,n/a,6181.3,GBP,127928.80000000002,20.69609952598968,20.69609952598968
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2028,medium,current_scope,frozen,n/a,6181.3,GBP,2935.9422,0.4749716402698461,0.4749716402698461
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2028,medium,proposed_expansion,frozen,n/a,6181.3,GBP,158024.0502,25.564856939478748,25.564856939478748
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2028,high,current_scope,frozen,n/a,6181.3,GBP,3565.2000000000003,0.5767718764661156,0.5767718764661156
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2028,high,proposed_expansion,frozen,n/a,6181.3,GBP,191893.2,31.044149288984517,31.044149288984517
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2029,low,current_scope,frozen,n/a,6181.3,GBP,2376.8,0.3845145843107437,0.3845145843107437
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2029,low,proposed_expansion,frozen,n/a,6181.3,GBP,127928.80000000002,20.69609952598968,20.69609952598968
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2029,medium,current_scope,frozen,n/a,6181.3,GBP,2935.9422,0.4749716402698461,0.4749716402698461
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2029,medium,proposed_expansion,frozen,n/a,6181.3,GBP,158024.0502,25.564856939478748,25.564856939478748
ningbo_felixstowe,gas_carrier,VLGC/VLAC,cape,lower,2029,high,current_scope,frozen,n/a,6181.3,GBP,3565.2000000000003,0.5767718764661156,0.5767718764661156
