corridor,vessel_set,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,distance_nm,voyage_days,voyage_co2_t,port_co2_t,voyage_co2e_t,port_co2e_t,uk_price_variant,bunker_fuel,eu_ets_cost_eur,fueleu_cost_eur,uk_ets_cost_gbp,total_eur,total_gbp
ningbo_felixstowe,VLGC/VLAC,suez,lower,2026,low,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2376.8,0.0,2376.8
ningbo_felixstowe,VLGC/VLAC,suez,lower,2026,medium,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2935.9422,0.0,2935.9422
ningbo_felixstowe,VLGC/VLAC,suez,lower,2026,high,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,3565.2000000000003,0.0,3565.2000000000003
ningbo_felixstowe,VLGC/VLAC,suez,lower,2027,low,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2376.8,0.0,2376.8
ningbo_felixstowe,VLGC/VLAC,suez,lower,2027,medium,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2935.9422,0.0,2935.9422
ningbo_felixstowe,VLGC/VLAC,suez,lower,2027,high,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,3565.2000000000003,0.0,3565.2000000000003
ningbo_felixstowe,VLGC/VLAC,suez,lower,2028,low,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2376.8,0.0,2376.8
ningbo_felixstowe,VLGC/VLAC,suez,lower,2028,low,proposed_expansion,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,90398.80000000002,0.0,90398.80000000002
ningbo_felixstowe,VLGC/VLAC,suez,lower,2028,medium,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2935.9422,0.0,2935.9422
ningbo_felixstowe,VLGC/VLAC,suez,lower,2028,medium,proposed_expansion,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,111665.1177,0.0,111665.1177
ningbo_felixstowe,VLGC/VLAC,suez,lower,2028,high,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,3565.2000000000003,0.0,3565.2000000000003
ningbo_felixstowe,VLGC/VLAC,suez,lower,2028,high,proposed_expansion,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,135598.2,0.0,135598.2
ningbo_felixstowe,VLGC/VLAC,suez,lower,2029,low,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2376.8,0.0,2376.8
ningbo_felixstowe,VLGC/VLAC,suez,lower,2029,low,proposed_expansion,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,90398.80000000002,0.0,90398.80000000002
ningbo_felixstowe,VLGC/VLAC,suez,lower,2029,medium,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,2935.9422,0.0,2935.9422
ningbo_felixstowe,VLGC/VLAC,suez,lower,2029,medium,proposed_expansion,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,111665.1177,0.0,111665.1177
ningbo_felixstowe,VLGC/VLAC,suez,lower,2029,high,current_scope,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,3565.2000000000003,0.0,3565.2000000000003
ningbo_felixstowe,VLGC/VLAC,suez,lower,2029,high,proposed_expansion,10403,33.3,4333.6,58.51,4401.1,59.42,frozen,n/a,0.0,0.0,135598.2,0.0,135598.2
